,Day,mW_A,sW_A,mICU_A,sICU_A,mW_P,sW_P,mICU_P,sICU_P
1,0.0,0,0,0,0,0,0,0,0
2,1.0,0,0,0,0,0,0,0,0
3,2.0,0,0,0,0,0,0,0,0
4,3.0,0,0,0,0,0.0,0.0,0,0
5,4.0,0.0,0.0,0,0,1.4264242866194805e-12,5.865231441691944e-11,0.0,0.0
6,5.0,3.9080091370147314e-11,4.025498080544035e-10,0.0,0.0,3.9178610343525315e-09,1.6109625963620612e-07,2.3771360498752484e-13,0.0
7,6.0,1.0733858686667274e-07,1.105655745037915e-06,5.797595972494382e-12,3.87107164380926e-11,3.445349061017748e-07,1.4166731336421664e-05,6.52911534844428e-10,0.0
8,7.0,9.439345278790667e-06,9.72312626945145e-05,1.5923856293407496e-08,1.0632405026144327e-07,7.548626177598594e-06,0.0003103875895394159,5.741697924118349e-08,0.0
9,8.0,0.00020691887671537779,0.002131396094130834,1.4003424314689448e-06,9.350127024719292e-06,7.751808989641034e-05,0.0031874214595563467,1.2586312137357433e-06,0.0
10,9.0,0.0021332212132743893,0.02197353588065447,3.06967564357978e-05,0.00020496313292492273,0.0004905281924850729,0.02016974475678754,1.2975153619733386e-05,0.0
11,10.0,0.013646038472316952,0.1405628793368271,0.00031646688328795884,0.002113058557224081,0.0022113123956274804,0.09092567416231417,8.29477369322168e-05,0.0
12,11.0,0.06271708200698074,0.6460258520001309,0.002024412300838229,0.013517059640466561,0.007751886994623199,0.31874535339733556,0.00038023238212524924,0.0
13,12.0,0.22602625505466328,2.3282142491870887,0.009304182501338694,0.06212429638187147,0.022382431523482182,0.9203302435642345,0.0013618813021130422,0.0
14,13.0,0.6759245356189059,6.962452812495221,0.033531383426168085,0.22389001954354595,0.05539686011385958,2.2778314191554108,0.004028518035745763,0.0
15,14.0,1.743540625900205,17.959577874153176,0.10027590343896231,0.6695451152538875,0.12096939977738097,4.974070714530468,0.010225252740704977,0.0
16,15.0,3.988028673618805,41.079232949466245,0.25868642223436444,1.7272567431411983,0.2381391334645615,9.791905158904669,0.02289621635227762,0.0
17,16.0,8.254456974661414,85.02615920907348,0.5919163975318397,3.95224295184094,0.4296437638055314,17.666273182793233,0.04618110675955539,0.0
18,17.0,15.698498982037744,161.7045285822657,1.2262702438563313,8.187841979952513,0.7196210207969328,29.58968013145283,0.08526446222868751,0.0
19,18.0,27.75770790325644,285.9220538317784,2.3361779708324732,15.59872806019376,1.1304981545076946,46.48429911627035,0.1459463984046112,0.0
20,19.0,46.05781360472279,474.4247870451374,4.142128922842296,27.65711493917412,1.6796017403206034,69.06257155923534,0.2339760915981119,0.0
21,20.0,72.25644205811828,744.2873304899338,6.899497103664453,46.06814224594618,2.376090400492666,97.70108554657347,0.3542518931073763,0.0
22,21.0,107.84190939262733,1110.8402873229736,10.877774186561194,72.6312136981156,3.2187410359606625,132.34954917601414,0.5100267109633475,0.0
23,22.0,153.91671367592474,1585.4400891687196,16.331784291496852,109.04779733456019,4.194942015458615,172.48939208300231,0.7022575658207606,0.0
24,23.0,211.00069678202937,2173.4414381086726,23.468437799143476,156.6994397674091,5.281020081509912,217.14720729892736,0.9292081636224441,0.0
25,24.0,278.88646758472146,2872.70807357831,32.413916843354095,216.4286627636693,6.443806525416429,264.95914989376763,1.1863640923202512,0.0
26,25.0,356.5706920216534,3672.905016306806,43.1864978913723,288.35749882514205,7.6431739814083475,314.27524594606695,1.4666653220646009,0.0
27,26.0,442.271899437197,4555.681984978659,55.679445297053014,371.7732709471928,8.835170433048734,363.2882579378592,1.7610119436981457,0.0
28,27.0,533.53167074812,5495.715698726917,69.65678691995024,465.10038630489333,9.975345622158038,410.1704614374194,2.058964472224369,0.0
29,28.0,627.3842303596645,6462.456781781331,84.76272481144217,565.9631716771884,11.021896787868918,453.20299292224183,2.349542928283648,0.0
30,29.0,720.5714027467593,7422.343953033261,100.54339750304459,671.3311808770679,11.93833711944921,490.88557234577354,2.6220286222892555,0.0
31,30.0,809.7763562952697,8341.211736333416,116.47807401320318,777.7274780395437,12.69549048928903,522.0185234082662,2.866685651399826,0.0
32,31.0,891.8503011903898,9186.6255929918,132.01585397300687,881.4736854253362,13.272720693978963,545.7533180090036,3.0753407598626072,0.0
33,32.0,964.0104099099649,9929.920628797146,146.61364039239945,978.9435286820778,13.658397689368643,561.6117470957502,3.241785451601316,0.0
34,33.0,1023.993425535727,10547.783857364717,159.77147034294148,1066.7987408377003,13.849677679790043,569.4768782808407,3.3619888509726263,0.0
35,34.0,1070.1564228675668,11023.292103728318,171.06207208979555,1142.1864161278525,13.851724156339278,569.5610261652664,3.434130744974472,0.0
36,35.0,1101.5228907579262,11346.386681707068,180.15256402625923,1202.8838944110466,13.67652310394285,562.357035523966,3.4584797770098703,0.0
37,36.0,1117.777924919601,11513.823876766915,186.81732583052775,1247.3847022556242,13.341450646647324,548.5793851417486,3.437151345283052,0.0
38,37.0,1119.2204175091451,11528.682468307581,190.9420962733735,1274.925914120467,12.867740113045206,529.1011559640299,3.3737837427837665,0.0
39,38.0,1106.6825739398903,11399.534701624643,192.52017694610623,1285.4628045364975,12.27897320174542,504.8919902033479,3.273170406108232,0.0
40,39.0,1081.4279910058835,11139.39642773247,191.6421921244608,1279.600474420892,11.599691683537234,476.96100672439286,3.140882053912047,0.0
41,40.0,1045.039163111897,10764.56834595274,188.48116379083842,1258.4941965677658,10.854196185249423,446.3074089329533,2.982906277809157,0.0
42,41.0,999.3039917907652,10293.466979728184,183.27473388646024,1223.7307131102466,10.065570313189085,413.88035827257755,2.805324961701122,0.0
43,42.0,946.1090156658094,9745.524877297044,176.3062508905627,1177.2019500612753,9.254943856653629,380.5486783163499,2.614042690120618,0.0
44,43.0,887.344976345115,9140.21788031502,167.88619172674075,1120.9809708434984,8.440989238821416,347.08014962259114,2.414572740259273,0.0
45,44.0,824.8282507066419,8496.255826398712,158.33506919055063,1057.2078486876858,7.639631116708488,314.12956894360565,2.211881756520804,0.0
46,45.0,760.2397985369787,7830.95367095672,147.968628917496,987.9908263586899,6.863939838003393,282.2343683389554,2.010289977209418,0.0
47,46.0,695.0817113593507,7159.78391246986,137.0858070002966,915.3259088167191,6.124174713473682,251.81639446849024,1.8134209407981476,0.0
48,47.0,630.6502556262683,6496.098920222607,125.95962646637024,841.0360787334853,5.427941922701847,223.18840142688518,1.6241928404219619,0.0
49,48.0,568.0234840555005,5851.0033231806465,114.83097340643093,766.7297395223599,4.780433435908909,196.56387483178085,1.4448429403034586,0.0
50,49.0,508.06101081342575,5233.351694236322,103.9050175022784,693.7768150986216,4.184716741102762,172.06894494665966,1.2769765019857742,0.0
51,50.0,451.4133564326087,4649.844808805923,93.34992561354863,623.3001604608834,3.6420496530257336,149.75533112770287,1.121632272440598,0.0
52,51.0,398.53830405233083,4105.198124514736,83.29745453487143,556.179519547823,3.1521994258286448,129.61346323308575,0.9793575582210347,0.0
53,52.0,349.7219061322023,3602.3581637139728,73.8449907383933,493.0651446581615,2.7137503209536753,111.58512832868735,0.8502870773747165,0.0
54,53.0,305.1020816598168,3142.745579734688,65.05862045027705,434.3982954404827,2.3243883630372277,95.57517940120181,0.7342210067550452,0.0
55,54.0,264.69309820908376,2726.507337666708,56.976852516939616,380.4360965790653,1.9811560420779413,81.46200830912588,0.6306988255944538,0.0
56,55.0,228.40960148579896,2352.7642339681806,49.61466997335542,331.27859023293985,1.6806730842492152,69.10662352998419,0.5390666288049246,0.0
57,56.0,196.08920817255665,2019.8436171441608,42.967646331230284,286.8962206113988,1.41932208964696,58.36028329140462,0.458536505819623,0.0
58,57.0,167.5129965397001,1725.4904540777188,37.0159233738634,247.1563938256442,1.1933998519583429,49.07071759697135,0.3882373358530312,0.0
59,58.0,142.42350222466163,1467.0526980079915,31.727904380654113,211.84813765592347,0.9992365977176787,41.08703115615455,0.32725693804925027,0.0
60,59.0,120.54004915794513,1241.6392068229768,27.063567431886547,180.70422458366184,0.8332862967135031,34.26341680565392,0.2746759465083917,0.0
61,60.0,101.57141807216315,1046.2502367636794,22.977346262516846,153.42040733574393,0.6921916930491903,28.461829483930526,0.22959407413371366,0.0
62,61.0,85.22598096278986,877.881833818496,19.42056054002218,129.6716459201897,0.5728278798096719,23.553777952700326,0.19114960766161188,0.0
63,62.0,71.21951491151094,733.6063210757121,16.34340366282405,109.12538021387255,0.4723281734611994,19.421388711398006,0.1585330620050966,0.0
64,63.0,59.280959471869515,610.6316034591193,13.696514926029462,91.45202735876626,0.38809581053348013,15.95788694627797,0.1309959370232725,0.0
65,64.0,49.15640520786358,506.3422522135052,11.432175177804917,76.33296519422746,0.3178046501109361,13.06762541574573,0.10785548369073066,0.0
66,65.0,40.61160349916587,418.32535749542524,9.505172014526185,63.466309190101654,0.25939167013204945,10.66577591003493,0.08849631621905943,0.0
67,66.0,33.43327524294119,344.384008834657,7.873383264778466,52.570808386313146,0.2110436307995741,8.677780871693017,0.07236961576585747,0.0
68,67.0,27.429473601583446,282.54103166671075,6.498127047136983,43.38818273881769,0.17117987158899606,7.038646035731748,0.05899057076152047,0.0
69,68.0,22.42922756432161,231.03531579056704,5.344323988617167,35.68420625689878,0.13843282774983623,5.692139298924189,0.04793459666957523,0.0
70,69.0,18.28166201363625,188.31275149285838,4.380513048234721,29.248812657536952,0.1116275090999773,4.58994692022933,0.038832779880142866,0.0
71,70.0,14.8547586055966,153.01346582688066,3.5787574402081215,23.895467211904784,0.08976088409261887,3.6908258261767637,0.03136690015404753,0.0
72,71.0,12.033891770247417,123.95674248502408,2.91447188601317,19.46001330232539,0.07198185726950519,2.9597803153579445,0.025264305749583493,0.0
73,72.0,9.72024661008946,100.12472514641995,2.3661972053518934,15.799167359634955,0.05757231709256294,2.367282775187621,0.020292846034263054,0.0
74,73.0,7.829201049101201,80.64575258241372,1.91534333282345,12.788802978041884,0.0459295606565063,1.888551013836608,0.016256008091648885,0.0
75,74.0,6.288733531339687,64.77795693896145,1.5459173774431016,10.32213516064872,0.03655026769317409,1.5028892965943297,0.012988356056694402,0.0
76,75.0,5.0378998960095585,51.89357458066511,1.244249411440317,8.307889403304983,0.029016093820514816,1.1930959630145896,0.010351333747811862,0.0
77,76.0,4.025408595257876,41.4642699274604,0.9987253135903996,6.668517881784929,0.022980877300702904,0.9449373890091657,0.00822946149600605,0.0
78,77.0,3.208311889405932,33.04765393270242,0.7995331920779175,5.3385063098929635,0.01815939998151403,0.7466858545030441,0.006526935704818857,0.0
79,78.0,2.5508217080944386,26.275086699485147,0.6384276375653658,4.262799850366458,0.014317607310717106,0.5887174058683022,0.0051646234225124115,0.0
80,79.0,2.023252138025887,20.840784431485126,0.5085142576688876,3.395364445321657,0.011264170525347096,0.46316490646986425,0.004077432952460996,0.0
81,80.0,1.6010856257692383,16.492200727667896,0.4040555601589452,2.6978906927551947,0.008843263041500198,0.3636210132195805,0.003212034257929163,0.0
82,81.0,1.2641566265868258,13.021617645755025,0.32029822226469645,2.138640518680235,0.006928419944936932,0.28488568852536733,0.0025248987469361386,0.0
83,82.0,0.9959442794610569,10.258859804923183,0.2533210475006896,1.69143198044908,0.00541735204228878,0.22275296226516367,0.0019806261957384407,0.0
